,X Variance,Y Variance,Z Variance
0,0.0036988792288456525,0.005511083496009655,0.026792251526408135
1,0.0036101530081940644,0.003302754174675822,0.0114765529279041
2,0.003614244593559825,0.0034092720505454056,0.00825889155316696
3,0.0036161455721919426,0.003508553232614908,0.013193927864485484
4,0.0036198350300000503,0.00363446786658873,0.015040319910896431
5,0.003621378493054976,0.0037674514409316204,0.015645847780599405
6,0.0036246092305752984,0.003894939546789067,0.01720005430542059
7,0.003626290079714516,0.004027338751423625,0.014086176049599738
8,0.0036271712412955792,0.004170801200163245,0.01277648199715474
9,0.0036283044374872315,0.004312503985920599,0.01930904795993408
10,0.0036322224609515483,0.004604618397467978,0.013746269291436653
11,0.00363206055735313,0.004756101763111102,0.015226729084451095
12,0.0036370182378272086,0.005072835992917993,0.01480100641334798
13,0.003638501236664573,0.005247504345117525,0.013928229628978576
14,0.003643174580454591,0.005402306696485238,0.01164996715114245
15,0.003653910031289328,0.005902469752749439,0.0266915462200643
16,0.0035246635392852683,0.0021026442433198086,0.008452436858635696
17,0.0035270504007379115,0.002155867183897687,0.009659609781356594
18,0.003530097085233732,0.0021814963074700735,0.007887886232130084
19,0.003536528500097023,0.0023475042769942503,0.013229191270241561
20,0.003537392973837924,0.0024055892677571603,0.015363154377295128
21,0.0035399352596163676,0.002472371335526632,0.011179458943010938
22,0.003542491304434016,0.0026137326651996338,0.014345034215083926
23,0.0035440560710816274,0.002794824015158664,0.007763706242829601
24,0.0035504483449196014,0.002964052950456512,0.005833826638426586
25,0.003551500849131818,0.003058772635521249,0.0056293628590432495
26,0.003551950781864452,0.003159361762199382,0.013977761428525222
27,0.0035558297918201007,0.003271044891004226,0.00606404318538559
28,0.003556791710917581,0.0033804440837693476,0.004591024424415585
29,0.0035838716467882824,0.004763493601621649,0.0170472652395777
30,0.0035976775859227106,0.005520438643587756,0.027646487368276677
31,0.0036024511508357085,0.005671088659261009,0.03255490777460299
32,0.003606542762768462,0.0058065813199291655,0.03746938071169615
33,0.0036069419678937424,0.005989620411453977,0.024311393071847185
34,0.0036109726713546434,0.006166013402264247,0.020227721308551428
35,0.003614756550467893,0.0063380749933105,0.021117930914594053
36,0.003616664504091816,0.006508407934406419,0.019825766495940988
37,0.003613537904713221,0.006729479289594598,0.02791818888057263
38,0.0036188859739469696,0.006956448258804073,0.03149945877128952
39,0.003624587244609492,0.0071491302686481455,0.01892895734313965
40,0.0036287473748714025,0.007354171975093516,0.019312963449875865
41,0.003631035468830136,0.0075164880054332155,0.028183855627981858
42,0.003632786393621184,0.007751287078215417,0.02895676096081671
43,0.003636227941015575,0.008183957643351916,0.04275222609569835
44,0.003643571252576938,0.008378107054614703,0.02963001822952195
45,0.00364934985619359,0.008601773604411387,0.03043384551122076
46,0.003452051655544143,0.0019489717734860275,0.010490678329480115
47,0.0034535064999258046,0.001942216942202149,0.007428042257770131
48,0.0034565798288439336,0.001936201958133535,0.007470958177383963
49,0.0034582283629468096,0.0019362624845351262,0.00782045348697271
50,0.0034581098562331053,0.001929074527089052,0.00906454373164262
51,0.0034591154527658036,0.001953594564893509,0.007861677422430406
52,0.003459748458184569,0.0019515090202613967,0.00806113882687878
53,0.003523751142183577,0.004046805183521396,0.023200261453581263
